id,user_id,category,severity,description,latitude,longitude,status,reliability,created_at
REP-0001,USR-008,Accident,LOW,"Two-wheeler skid due to loose gravel, slow traffic.",37.773122,-122.413995,REJECTED,0.5,2026-08-02T21:44:36.519245Z
REP-0002,USR-009,Suspicious Activity,LOW,Unmarked vehicles parked with headlights off in quiet alleyway.,37.773102,-122.414038,VERIFIED,0.8,2026-08-19T17:29:34.322385Z
REP-0003,USR-006,Road Blocked,LOW,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.793875,-122.410452,PENDING,0.5,2026-08-07T12:00:14.482978Z
REP-0004,USR-001,Harassment,HIGH,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.770357,-122.423948,VERIFIED,0.8,2026-07-22T10:36:00.339836Z
REP-0005,USR-001,Harassment,MEDIUM,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.781649,-122.397319,PENDING,0.5,2026-08-06T12:06:43.634661Z
REP-0006,USR-012,Poor Lighting,HIGH,Multiple overhead street lamps completely broken. Pitch dark walking path.,37.7664,-122.393948,PENDING,1.0,2026-07-27T07:34:40.631506Z
REP-0007,USR-011,Harassment,CRITICAL,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.766996,-122.403887,VERIFIED,1.0,2026-08-08T19:53:29.095567Z
REP-0008,USR-006,Harassment,HIGH,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.767396,-122.42082,PENDING,0.8,2026-08-21T01:14:57.855277Z
REP-0009,USR-008,Road Blocked,MEDIUM,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.785321,-122.407056,VERIFIED,1.0,2026-08-17T22:31:45.461161Z
REP-0010,USR-011,Isolated Area,LOW,"No open shops, deserted street after 9 PM, no security presence.",37.794323,-122.403468,VERIFIED,0.8,2026-08-18T20:24:38.710606Z
REP-0011,USR-007,Road Blocked,LOW,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.772947,-122.40287,VERIFIED,0.5,2026-08-02T12:01:35.295926Z
REP-0012,USR-008,Accident,CRITICAL,"Two-wheeler skid due to loose gravel, slow traffic.",37.761477,-122.421373,PENDING,0.8,2026-08-18T08:48:02.475492Z
REP-0013,USR-004,Poor Lighting,MEDIUM,Multiple overhead street lamps completely broken. Pitch dark walking path.,37.784623,-122.392995,PENDING,0.5,2026-08-04T11:48:52.598515Z
REP-0014,USR-002,Unsafe Crowd,HIGH,Rowdy unorganized group blocking pedestrian walkway.,37.773076,-122.434555,VERIFIED,0.5,2026-08-16T09:04:16.019579Z
REP-0015,USR-009,Other,CRITICAL,Broken glass bottles scattered across cycling path.,37.767328,-122.434603,VERIFIED,0.5,2026-08-19T22:00:46.740168Z
REP-0016,USR-010,Suspicious Activity,HIGH,Unmarked vehicles parked with headlights off in quiet alleyway.,37.764273,-122.403921,PENDING,1.0,2026-08-02T11:52:11.666123Z
REP-0017,USR-005,Unsafe Crowd,HIGH,Rowdy unorganized group blocking pedestrian walkway.,37.767296,-122.407015,VERIFIED,1.0,2026-08-20T14:52:43.552463Z
REP-0018,USR-002,Accident,LOW,"Two-wheeler skid due to loose gravel, slow traffic.",37.767281,-122.420887,VERIFIED,0.5,2026-08-15T09:07:24.396293Z
REP-0019,USR-002,Isolated Area,MEDIUM,"No open shops, deserted street after 9 PM, no security presence.",37.761392,-122.420869,PENDING,1.0,2026-08-19T23:18:47.316653Z
REP-0020,USR-002,Suspicious Activity,LOW,Unmarked vehicles parked with headlights off in quiet alleyway.,37.761456,-122.41422,REJECTED,0.8,2026-07-29T05:28:46.952792Z
REP-0021,USR-007,Isolated Area,MEDIUM,"No open shops, deserted street after 9 PM, no security presence.",37.778421,-122.392971,VERIFIED,1.0,2026-08-15T17:32:31.895225Z
REP-0022,USR-004,Suspicious Activity,LOW,Unmarked vehicles parked with headlights off in quiet alleyway.,37.773355,-122.396658,VERIFIED,1.0,2026-08-18T01:37:27.343209Z
REP-0023,USR-015,Isolated Area,LOW,"No open shops, deserted street after 9 PM, no security presence.",37.784703,-122.428061,VERIFIED,1.0,2026-08-20T22:27:59.611873Z
REP-0024,USR-006,Unsafe Crowd,HIGH,Rowdy unorganized group blocking pedestrian walkway.,37.766751,-122.393685,VERIFIED,0.8,2026-08-05T16:32:28.181890Z
REP-0025,USR-009,Poor Lighting,MEDIUM,Multiple overhead street lamps completely broken. Pitch dark walking path.,37.773244,-122.407131,VERIFIED,0.8,2026-08-17T17:55:12.930427Z
REP-0026,USR-001,Accident,HIGH,"Two-wheeler skid due to loose gravel, slow traffic.",37.785166,-122.39249,VERIFIED,1.0,2026-08-20T09:01:39.880869Z
REP-0027,USR-013,Suspicious Activity,MEDIUM,Unmarked vehicles parked with headlights off in quiet alleyway.,37.785319,-122.40061,VERIFIED,0.8,2026-08-16T23:37:53.711697Z
REP-0028,USR-009,Suspicious Activity,MEDIUM,Unmarked vehicles parked with headlights off in quiet alleyway.,37.788002,-122.431246,PENDING,0.8,2026-07-22T23:36:55.204781Z
REP-0029,USR-015,Poor Lighting,HIGH,Multiple overhead street lamps completely broken. Pitch dark walking path.,37.767557,-122.421076,VERIFIED,0.8,2026-08-18T22:32:12.545636Z
REP-0030,USR-012,Unsafe Crowd,MEDIUM,Rowdy unorganized group blocking pedestrian walkway.,37.763672,-122.431623,VERIFIED,1.0,2026-08-05T03:21:28.383475Z
REP-0031,USR-006,Isolated Area,HIGH,"No open shops, deserted street after 9 PM, no security presence.",37.76048,-122.396472,VERIFIED,0.8,2026-07-22T12:46:00.339836Z
REP-0032,USR-012,Unsafe Crowd,MEDIUM,Rowdy unorganized group blocking pedestrian walkway.,37.766883,-122.427861,PENDING,1.0,2026-08-11T07:05:33.489020Z
REP-0033,USR-012,Road Blocked,MEDIUM,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.767202,-122.403648,VERIFIED,0.5,2026-08-16T15:35:46.301957Z
REP-0034,USR-006,Accident,LOW,"Two-wheeler skid due to loose gravel, slow traffic.",37.781569,-122.397052,REJECTED,0.5,2026-07-26T22:23:24.660361Z
REP-0035,USR-015,Harassment,CRITICAL,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.767547,-122.399936,PENDING,1.0,2026-08-11T05:03:57.283891Z
REP-0036,USR-007,Road Blocked,LOW,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.775567,-122.395992,PENDING,0.5,2026-08-09T17:24:40.553283Z
REP-0037,USR-014,Isolated Area,MEDIUM,"No open shops, deserted street after 9 PM, no security presence.",37.794034,-122.403825,VERIFIED,0.5,2026-08-16T00:09:39.821595Z
REP-0038,USR-002,Poor Lighting,MEDIUM,Multiple overhead street lamps completely broken. Pitch dark walking path.,37.785202,-122.400676,VERIFIED,0.8,2026-08-19T20:43:42.271482Z
REP-0039,USR-015,Harassment,HIGH,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.770375,-122.396716,VERIFIED,1.0,2026-08-08T07:16:20.611923Z
REP-0040,USR-004,Isolated Area,LOW,"No open shops, deserted street after 9 PM, no security presence.",37.793859,-122.424326,VERIFIED,0.8,2026-08-19T13:05:23.691727Z
REP-0041,USR-007,Road Blocked,HIGH,"Construction barricades occupying the entire sidewalk, forced into traffic.",37.779053,-122.421082,VERIFIED,0.5,2026-08-08T11:28:59.529221Z
REP-0042,USR-003,Other,MEDIUM,Broken glass bottles scattered across cycling path.,37.781765,-122.424813,VERIFIED,0.5,2026-08-15T23:32:50.859575Z
REP-0043,USR-007,Other,HIGH,Broken glass bottles scattered across cycling path.,37.757688,-122.404274,VERIFIED,1.0,2026-08-06T03:09:46.896827Z
REP-0044,USR-010,Other,CRITICAL,Broken glass bottles scattered across cycling path.,37.775483,-122.431948,VERIFIED,0.8,2026-08-15T16:04:20.477283Z
REP-0045,USR-014,Isolated Area,HIGH,"No open shops, deserted street after 9 PM, no security presence.",37.764338,-122.424641,VERIFIED,0.5,2026-08-20T15:30:42.025014Z
REP-0046,USR-015,Accident,CRITICAL,"Two-wheeler skid due to loose gravel, slow traffic.",37.785415,-122.421138,VERIFIED,0.8,2026-08-01T07:54:49.663860Z
REP-0047,USR-003,Suspicious Activity,LOW,Unmarked vehicles parked with headlights off in quiet alleyway.,37.78488,-122.424725,REJECTED,0.8,2026-08-12T23:17:00.403884Z
REP-0048,USR-003,Isolated Area,LOW,"No open shops, deserted street after 9 PM, no security presence.",37.76728,-122.407136,REJECTED,1.0,2026-08-15T21:59:53.940241Z
REP-0049,USR-009,Isolated Area,HIGH,"No open shops, deserted street after 9 PM, no security presence.",37.77055,-122.403138,VERIFIED,0.8,2026-08-20T20:00:10.803196Z
REP-0050,USR-010,Harassment,HIGH,Verbal harassment reported near bus shelter. Individuals loitering aggressively.,37.761282,-122.435187,VERIFIED,1.0,2026-08-14T02:56:47.002479Z
REP-0051,USR-008,Unsafe Crowd,HIGH,Rowdy unorganized group blocking pedestrian walkway.,37.76095,-122.400132,VERIFIED,1.0,2026-08-18T02:30:10.289748Z
REP-0052,USR-012,Isolated Area,LOW,"No open shops, deserted street after 9 PM, no security presence.",37.760287,-122.427911,VERIFIED,0.8,2026-08-11T19:02:10.028141Z
REP-0053,USR-014,Unsafe Crowd,HIGH,Rowdy unorganized group blocking pedestrian walkway.,37.758752,-122.417608,VERIFIED,0.8,2026-07-29T22:11:02.507895Z
REP-0054,USR-011,Unsafe Crowd,HIGH,Rowdy unorganized group blocking pedestrian walkway.,37.764021,-122.396786,PENDING,1.0,2026-08-15T12:25:24.549308Z
