id,category,severity,title,latitude,longitude,occurred_at,source
INC-0001,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Pine Green Way 17,37.763988,-122.431264,2026-06-01T23:14:01.583459Z,PUBLIC_SAFETY_LOG
INC-0002,TRAFFIC_ACCIDENT,LOW,Traffic Accident near Pine Green Way 76,37.787752,-122.432529,2026-06-27T20:17:41.084509Z,PUBLIC_SAFETY_LOG
INC-0003,THEFT,HIGH,Theft near Pine Green Way 61,37.781413,-122.431709,2026-07-28T06:53:11.306167Z,POLICE_ARCHIVE
INC-0004,THEFT,HIGH,Theft near Market Cross 59,37.779261,-122.400033,2026-06-06T22:09:01.400897Z,POLICE_ARCHIVE
INC-0005,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Pine Green Way 92,37.793202,-122.41468,2026-07-15T02:04:15.834846Z,PUBLIC_SAFETY_LOG
INC-0006,TRAFFIC_ACCIDENT,LOW,Traffic Accident near Pine Green Way 49,37.781454,-122.434656,2026-07-15T07:22:51.124555Z,PUBLIC_SAFETY_LOG
INC-0007,HARASSMENT,HIGH,Harassment near Market Cross 84,37.78804,-122.402744,2026-08-11T08:36:59.472229Z,POLICE_ARCHIVE
INC-0008,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Market Cross 44,37.77033,-122.394696,2026-08-06T05:29:36.718979Z,PUBLIC_SAFETY_LOG
INC-0009,TRAFFIC_ACCIDENT,HIGH,Traffic Accident near Pine Green Way 20,37.76419,-122.423853,2026-08-17T13:12:23.195629Z,POLICE_ARCHIVE
INC-0010,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Pine Green Way 17,37.763892,-122.430969,2026-08-05T12:34:55.489232Z,PUBLIC_SAFETY_LOG
INC-0011,HARASSMENT,HIGH,Harassment near Market Cross 93,37.793347,-122.413528,2026-08-16T14:45:20.493894Z,POLICE_ARCHIVE
INC-0012,HARASSMENT,HIGH,Harassment near Market Cross 29,37.769475,-122.401026,2026-08-16T10:12:36.828188Z,POLICE_ARCHIVE
INC-0013,TRAFFIC_ACCIDENT,HIGH,Traffic Accident near Central Ave Sec 72,37.788084,-122.400491,2026-07-11T11:19:24.027499Z,POLICE_ARCHIVE
INC-0014,VANDALISM,MEDIUM,Vandalism near Pine Green Way 4,37.757854,-122.427125,2026-08-05T01:08:37.004437Z,PUBLIC_SAFETY_LOG
INC-0015,SUSPICIOUS_ACTIVITY,LOW,Suspicious Activity near Market Cross 73,37.781485,-122.395803,2026-03-31T19:08:10.023298Z,PUBLIC_SAFETY_LOG
INC-0016,THEFT,MEDIUM,Theft near Pine Green Way 49,37.777982,-122.435094,2026-06-30T17:47:55.807678Z,PUBLIC_SAFETY_LOG
INC-0017,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Pine Green Way 20,37.763748,-122.426832,2026-08-08T01:37:30.259446Z,POLICE_ARCHIVE
INC-0018,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Central Ave Sec 54,37.776203,-122.412526,2026-07-29T18:45:40.973375Z,POLICE_ARCHIVE
INC-0019,POOR_LIGHTING_HAZARD,LOW,Poor Lighting Hazard near Grand Blvd Sec 68,37.782214,-122.408979,2026-07-16T01:43:47.026631Z,PUBLIC_SAFETY_LOG
INC-0020,HARASSMENT,HIGH,Harassment near Pine Green Way 18,37.768982,-122.435008,2026-07-24T14:22:09.202607Z,POLICE_ARCHIVE
INC-0021,VANDALISM,LOW,Vandalism near Grand Blvd Sec 69,37.786716,-122.413825,2026-06-16T22:15:27.841983Z,PUBLIC_SAFETY_LOG
INC-0022,TRAFFIC_ACCIDENT,CRITICAL,Traffic Accident near Central Ave Sec 56,37.775958,-122.407167,2026-07-17T14:23:39.426840Z,POLICE_ARCHIVE
INC-0023,VANDALISM,HIGH,Vandalism near Central Ave Sec 38,37.770477,-122.420441,2026-06-17T05:03:20.235925Z,POLICE_ARCHIVE
INC-0024,VANDALISM,HIGH,Vandalism near Market Cross 12,37.760281,-122.40769,2026-08-01T02:26:15.070428Z,POLICE_ARCHIVE
INC-0025,HARASSMENT,HIGH,Harassment near Market Cross 44,37.770635,-122.398683,2026-07-11T20:32:52.329746Z,POLICE_ARCHIVE
INC-0026,HARASSMENT,MEDIUM,Harassment near Market Cross 45,37.774378,-122.399332,2026-08-10T16:56:32.006605Z,PUBLIC_SAFETY_LOG
INC-0027,PHYSICAL_ASSAULT,CRITICAL,Physical Assault near Pine Green Way 78,37.788652,-122.427376,2026-04-21T22:24:42.523155Z,POLICE_ARCHIVE
INC-0028,HARASSMENT,HIGH,Harassment near Market Cross 88,37.792933,-122.40015,2026-07-12T15:15:38.914275Z,POLICE_ARCHIVE
INC-0029,THEFT,HIGH,Theft near Market Cross 9,37.758327,-122.411303,2026-07-16T09:10:08.959715Z,POLICE_ARCHIVE
INC-0030,SUSPICIOUS_ACTIVITY,MEDIUM,Suspicious Activity near Market Cross 60,37.778531,-122.39294,2026-08-18T08:40:31.798914Z,PUBLIC_SAFETY_LOG
INC-0031,HARASSMENT,HIGH,Harassment near Market Cross 60,37.779592,-122.393047,2026-08-19T05:04:15.794365Z,POLICE_ARCHIVE
INC-0032,THEFT,MEDIUM,Theft near Pine Green Way 78,37.788294,-122.425081,2026-08-16T20:19:40.959569Z,PUBLIC_SAFETY_LOG
INC-0033,POOR_LIGHTING_HAZARD,MEDIUM,Poor Lighting Hazard near Pine Green Way 6,37.759313,-122.426819,2026-07-22T20:27:40.162011Z,PUBLIC_SAFETY_LOG
INC-0034,THEFT,HIGH,Theft near Pine Green Way 50,37.775277,-122.425497,2026-06-19T12:55:20.859314Z,POLICE_ARCHIVE
INC-0035,HARASSMENT,HIGH,Harassment near Shadow Alley 13,37.757333,-122.396459,2026-06-05T12:44:17.316684Z,POLICE_ARCHIVE
INC-0036,PHYSICAL_ASSAULT,HIGH,Physical Assault near Market Cross 11,37.757542,-122.40329,2026-04-05T09:59:24.089209Z,POLICE_ARCHIVE
INC-0037,HARASSMENT,MEDIUM,Harassment near Pine Green Way 77,37.791838,-122.435088,2026-07-10T22:57:14.534651Z,PUBLIC_SAFETY_LOG
INC-0038,VANDALISM,CRITICAL,Vandalism near Market Cross 83,37.791826,-122.414078,2026-08-06T14:58:19.105210Z,POLICE_ARCHIVE
INC-0039,VANDALISM,LOW,Vandalism near Market Cross 25,37.765549,-122.413905,2026-06-08T02:12:36.944999Z,PUBLIC_SAFETY_LOG
INC-0040,VANDALISM,MEDIUM,Vandalism near Market Cross 85,37.790035,-122.407458,2026-08-02T12:56:04.490359Z,PUBLIC_SAFETY_LOG
